Civilite,Nom,Prenom,Mandat,Circonscription,Departement,Candidat,Date_de_publication,,,,,,,,
M.,FOUCHET,Pierre,Maire,Menetou-Salon,Cher,JADOT Yannick,01/02/2022,,,,,,,,
M.,NAUROY,Christian,Maire,Montégut-Savès,Gers,JADOT Yannick,01/02/2022,,,,,,,,
Mme,VUYLSTEKER,Katy,Conseillère régionale,Hauts-De-France,Nord,JADOT Yannick,01/02/2022,,,,,,,,
M.,DUBARRY,Jean-Bertrand,Maire,Aulon,Hautes-Pyrénées,JADOT Yannick,01/02/2022,,,,,,,,
M.,MARX,Armand,Conseiller régional,Grand Est,Bas-Rhin,JADOT Yannick,01/02/2022,,,,,,,,
Mme,REYS,Caroline,Conseillère régionale,Grand Est,Bas-Rhin,JADOT Yannick,01/02/2022,,,,,,,,
M.,DIETMANN,Daniel,Maire,Manspach,Haut-Rhin,JADOT Yannick,01/02/2022,,,,,,,,
Mme,CREUZE,Catherine,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,01/02/2022,,,,,,,,
M.,DAMERVAL,François,Conseiller régional,Île-De-France,Essonne,JADOT Yannick,01/02/2022,,,,,,,,
M.,LAMANDE,Xavier,Maire,Ernes,Calvados,KAZIB Anasse,01/02/2022,,,,,,,,
M.,ALLIOT,Jean-François,Maire,Villeneuve-la-Dondagre,Yonne,KUZMANOVIC Georges,01/02/2022,,,,,,,,
Mme,BLAES,Magali,Maire,Valignat,Allier,LASSALLE Jean,01/02/2022,,,,,,,,
M.,LÉGER,Walter,Maire,Couvignon,Aube,LASSALLE Jean,01/02/2022,,,,,,,,
M.,BOUNON,Eric,Maire,Lunac,Aveyron,LASSALLE Jean,01/02/2022,,,,,,,,
M.,PIOLOT,Jean-Michel,Maire,Saint-Ouen-la-Thène,Charente-Maritime,LASSALLE Jean,01/02/2022,,,,,,,,
M.,DULUT,Thierry,Maire,Émanville,Eure,LASSALLE Jean,01/02/2022,,,,,,,,
M.,CARREAU,Pascal,Maire,Corneillan,Gers,LASSALLE Jean,01/02/2022,,,,,,,,
M.,RENOU,Pierre,Maire,Reignac,Gironde,LASSALLE Jean,01/02/2022,,,,,,,,
Mme,AUTIPOUT,Michèle,Maire,Xaintrailles,Lot-et-Garonne,LASSALLE Jean,01/02/2022,,,,,,,,
M.,MOUSSY,Jean-François,Maire,Congy,Marne,LASSALLE Jean,01/02/2022,,,,,,,,
M.,VOLDOIRE,André,Maire,Valcivières,Puy-de-Dôme,LASSALLE Jean,01/02/2022,,,,,,,,
M.,ARHANCHIAGUE,Jean-Pierre,Maire,Ainharp,Pyrénées-Atlantiques,LASSALLE Jean,01/02/2022,,,,,,,,
M.,BOURGUET,Jacques,Maire,Viellenave-de-Navarrenx,Pyrénées-Atlantiques,LASSALLE Jean,01/02/2022,,,,,,,,
M.,LENDRE,Jean-Baptiste,Maire,Méritein,Pyrénées-Atlantiques,LASSALLE Jean,01/02/2022,,,,,,,,
M.,SARASOLA,Jean,Maire,Gurmençon,Pyrénées-Atlantiques,LASSALLE Jean,01/02/2022,,,,,,,,
M.,MASCLE,Philippe,Maire,Luquet,Hautes-Pyrénées,LASSALLE Jean,01/02/2022,,,,,,,,
M.,LAURENT,Frédéric,Maire,Perrusse,Haute-Marne,LE PEN Marine,01/02/2022,,,,,,,,
Mme,POULAIN,Maryse,Conseillère départementale,,Pas-de-Calais,LE PEN Marine,01/02/2022,,,,,,,,
Mme,BONO-VANDORME,Aude,Députée,1ère circonscription,Aisne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,DOYEZ ROUSSEL,Jeanne,Conseillère départementale,,Aisne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,HAY,Etienne,Maire,Épaux-Bézu,Aisne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,BAUDELOT,Pascal,Maire,Lenax,Allier,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,FLORES,Sylvain,Maire,Beynes,Alpes-de-Haute-Provence,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,FRANCOU,Jérôme,Maire,La Motte-du-Caire,Alpes-de-Haute-Provence,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,IACOBBI,Christophe,Maire,Allons,Alpes-de-Haute-Provence,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,ESTROSI,Christian,Maire,Nice,Alpes-Maritimes,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,VALETTA ARDISSON,Alexandra,Députée,4ème circonscription,Alpes-Maritimes,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MICHEAU,Pierre,Maire,Floure,Aude,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,FOURNIER,Christian,Maire,Saint-Martin-Valmeroux,Cantal,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,MARSAUD,Sandra,Députée,2ème circonscription,Charente,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,SOURISSEAU,Jérôme,Maire,Bourg-Charente,Charente,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,DELOY,Franck,Maire,Magny-Montarlot,Côte-d'Or,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,GAUSSENS,Annie,Maire,Trouhans,Côte-d'Or,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,PARIS,Didier,Député,5ème circonscription,Côte-d'Or,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,POULLEAU,Christian,Maire,Molinot,Côte-d'Or,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,SEGUIN,Gilles,Maire,Agencourt,Côte-d'Or,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,KERLOGOT,Yannick,Député,4ème circonscription,Côtes-d'Armor,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,CHASSAING,Philippe,Député,1ère circonscription,Dordogne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,DUBOIS,Jacqueline,Députée,4ème circonscription,Dordogne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,PEYRAT,Jerome,Maire,La Roque-Gageac,Dordogne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,VOIDEY,Martine,Conseillère départementale,,Doubs,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,BENIER,Joris,Maire,Les Trois Lacs,Eure,MACRON Emmanuel,01/02/2022,,,,,,,,
